City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Semnan,IR,82.83,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
424,Bembibre,ES,70.54,overcast clouds,42.6177,-6.4155,Casa Rural Santibáñez de Toral
425,Samarai,PG,78.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
426,Florissant,US,89.17,clear sky,38.7892,-90.3226,Quality Inn Florissant-St. Louis
427,Ormara,PK,83.08,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
432,Dicabisagan,PH,83.93,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
433,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Uncle Junior Robert
435,Saint-Jean-Port-Joli,CA,70.11,overcast clouds,47.2171,-70.2658,Motel Blanche d'Haberville
437,Korla,CN,86.88,overcast clouds,41.7597,86.1469,Gulisitan Hotel
438,Freeport,US,81.25,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
439,Chalus,IR,80.06,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
442,Sao Miguel Do Araguaia,BR,80.8,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
444,Mayo,US,82.44,broken clouds,38.8876,-76.5119,Resorts Resource Group International
445,Pingzhuang,CN,75.22,broken clouds,42.0372,119.2889,Haoke Guest House
446,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
447,Libreville,GA,75.79,overcast clouds,0.3925,9.4537,Hotel Re-Ndama
451,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
454,Tacoronte,ES,72.45,broken clouds,28.4769,-16.4102,Casa Laurel
456,Port-Gentil,GA,74.41,overcast clouds,-0.7193,8.7815,Fengshui Residence
457,Issaquah,US,79.86,clear sky,47.5301,-122.0326,Hilton Garden Inn Seattle/Issaquah
458,Quixeramobim,BR,75.7,scattered clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
459,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
465,Soyo,AO,70.18,scattered clouds,-6.1349,12.3689,Hotel Mpampa
468,Santa Cruz,BO,78.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
469,Lakefield,US,83.91,clear sky,43.6775,-95.1717,Wind Mill Motel
472,Gombe,NG,72.79,light rain,10.2897,11.1673,Shinani Lodge
